Gender,10th Mark,12th Mark,hobbies,daily studing time,prefer to study in,Do you want pursue degree?,willingness to pursue a career based on their degree  ,Financial Status,part-time job
Female,75,85,Cinema,2 - 3 hour,Anytime,Yes,75%,good,No
Female,85,74,Cinema,0 - 30 minute,Anytime,Yes,75%,good,No
Male,88,85,Sports,30 - 60 minute,Morning,Yes,75%,good,No
Male,90,73,Cinema,30 - 60 minute,Morning,Yes,100%,Bad,No
Male,85,80,Cinema,30 - 60 minute,Anytime,Yes,100%,Bad,No
Female,83,73,Cinema,0 - 30 minute,Morning,Yes,75%,good,No
Male,85,80,Sports,30 - 60 minute,Night,Yes,75%,Bad,No
Male,82,73,Cinema,0 - 30 minute,Anytime,Yes,50%,Bad,No
Female,97,80,Reading books,3 - 4 hour,Morning,Yes,100%,good,Yes
Female,80,89,Reading books,2 - 3 hour,Morning,Yes,100%,good,No
Female,93,85,Reading books,1 - 2 Hour,Night,Yes,75%,good,No
Male,55,57,Sports,30 - 60 minute,Anytime,Yes,25%,Bad,No
Male,75,75,Sports,1 - 2 Hour,Anytime,Yes,100%,good,No
Female,60,70,Sports,1 - 2 Hour,Anytime,Yes,75%,Bad,No
Male,72,67,Video Games,30 - 60 minute,Morning,Yes,50%,Bad,No
Male,72,70,Cinema,2 - 3 hour,Anytime,Yes,75%,good,No
Female,90,75,Cinema,30 - 60 minute,Night,Yes,50%,good,No
Female,85,74,Cinema,0 - 30 minute,Anytime,Yes,75%,good,No
Female,45,45,Sports,3 - 4 hour,Night,No,75%,good,No
